,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.4173578716170714e-10,-9.196604994902173e-07,-1.9355838752772015e-06,-6.962186341191971e-06,-2.4140832164695465e-05,0.0,-0.02663502517163609,-0.04728165752788752,-0.10686382361727607,0.0,0.0,0.0,0.0,-0.01570189946714538,-0.017006432871701876,0.0,0.0,-0.13449293807827134,-0.04826876557821644,-0.004211343445670669
1,-2.2329826636502673e-10,-2.558267597366166e-06,-4.810054030359531e-06,-1.077994371860547e-05,-3.3890498208330957e-05,-0.008076363200245983,-0.03311962478911698,-0.08985516930568144,-0.1884859977398439,-0.48732451724235704,-0.2186810632106368,-0.055119177164410685,-0.037971930892540626,-0.017004587435975875,-0.02132949439026603,-0.4032968582866216,0.0,-0.503110901832932,0.0,-0.013013264327804756
2,-3.645446658831659e-10,0.0,-1.9335873637769692e-05,-3.486962147563492e-05,-0.0001023917270309124,-0.0023396678224504113,-0.07792836432206936,-0.2056820666715725,-0.6217191016186313,0.0,-0.06314467758005946,-0.02789918684301277,-0.017163866844750148,-0.01770640166491719,-0.028208046349926977,-0.17036762982302806,-0.28286148192537647,-0.36013053111221976,-0.13506446917160372,-0.022206750129574827
3,-7.085801364690043e-10,-2.426397125522791e-06,-8.769413025079963e-06,0.0,-0.0002691199159388606,-0.000688085985987421,0.0,-0.5035972119696212,0.0,-0.30741574631560503,-0.01617172602744795,-0.007045452416833522,-0.007444090413469781,0.0,-0.106257060254699,-0.24738720525057067,-0.518170321844875,0.0,-0.10202640336741584,-0.05161010750062623
4,-1.3926566362332523e-09,-5.997725868756347e-07,-1.349197645107629e-06,-2.1587033452991516e-06,-8.550281184970889e-06,-1.819905367029553e-05,-4.459425111629479e-05,-0.00010672313986439019,-0.00030279991399313955,-0.000708469337057482,-0.0011207120889203661,-0.0019658962620129994,-0.004982821723368127,-0.007762568461173306,-0.03578231046836831,-0.43578209788477196,0.0,-0.509435007227647,-0.131675461555015,0.0
5,-2.429201686082469e-09,-9.325038772942353e-08,-3.3667693026525546e-07,-1.043067821806145e-06,-2.160786350533966e-06,-4.55458818956911e-06,-2.0773595513878182e-05,-4.7414355690385244e-05,-0.00010082132960545732,-0.0005434646203358843,-0.0009299497446400864,-0.0019434968250195246,-0.0027351348510488687,-0.0034077519526238206,-0.005554103285066822,0.0,-0.32130560458045954,-0.08860956002808473,-0.020466611209577643,0.01903710426412244
6,-3.5789297233638323e-09,-2.9845696710854425e-08,-1.1725951024381137e-07,-2.769142501274504e-07,-5.157372324654683e-07,-2.0069092997967566e-06,-6.905482950328081e-06,-1.5282624183513216e-05,-2.9153525835180188e-05,-0.23686493086723345,0.0,0.0,-0.013625051244954943,0.0012926784160520845,0.009197658298029744,0.02183478316480263,0.03034211963990171,0.036727981309084834,0.042437934215823335,0.04613266347503139
7,-6.864544920160445e-09,-2.0219753556691913e-08,-5.750816666691603e-08,-1.684645629243238e-07,-4.1640504178611594e-07,-1.1601768972390836e-06,-2.7088268052886285e-06,-6.905229918652188e-06,-1.4367962852426221e-05,0.0,-0.18721839276776564,-0.07372750171099432,-0.04656784572838933,-0.009234375496731754,0.012319098889522359,0.027273579393770054,0.039796706666261464,0.04388548087753103,0.05103729997780656,0.06071173085904334
8,-1.3253239835851033e-08,-2.1895805349530336e-08,-3.595771204516412e-08,-1.052036667634296e-07,-2.480980881530781e-07,-7.385068139169997e-07,-2.115614903995837e-06,-5.781315346308421e-06,-1.1689852117938086e-05,-0.0008650223221001372,-0.007034346453123838,-0.03338964770361843,0.0,-0.16175563276988586,-0.04835741772934077,0.02529525866668945,0.060383403590021714,0.0672731892310702,0.06526151293529141,0.09498985387351372
9,-2.255316566428832e-08,-3.608542422437999e-08,-8.204585188770328e-08,-1.5657799449412722e-07,-4.1475871366381075e-07,-1.0965712054026666e-06,-2.487380319429985e-06,-5.4939502896748115e-06,-1.672659039795606e-05,-0.0007584932655934519,-0.0040780518855798205,-0.01666916977907999,-0.08841998822485317,-0.3866588561342665,0.0,-0.019651147936281314,0.0885866961530742,0.10619326887521781,0.0,0.1804513789620159
