,Action
0,1
1,1
2,2
3,1
4,0
5,0
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,2
14,0
15,0
16,0
17,2
18,3
19,2
20,1
21,3
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,3
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,2
38,0
39,2
40,0
41,0
42,2
43,3
44,1
45,0
46,3
47,0
48,0
49,0
50,2
51,1
52,1
53,3
54,0
55,1
56,1
57,3
58,1
59,2
60,1
61,1
62,0
63,0
64,2
65,0
66,0
67,2
68,0
69,2
70,2
71,1
72,0
73,0
74,2
75,0
76,0
77,0
78,2
79,3
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,2
102,2
103,2
104,2
105,1
106,2
107,1
108,2
109,3
110,3
111,3
112,2
113,1
114,0
115,0
116,2
117,1
118,1
119,1
120,1
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,0
129,3
130,0
131,0
132,2
133,2
134,1
135,1
136,1
137,1
138,1
139,1
140,3
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,0
149,0
150,2
151,1
152,3
153,2
154,2
155,2
156,2
157,1
158,1
159,1
160,2
161,3
162,3
163,2
164,2
165,2
166,1
167,1
168,1
169,1
170,1
171,0
172,0
173,2
174,3
175,2
176,2
177,1
178,3
179,1
180,3
181,3
182,3
183,3
184,3
185,2
186,2
187,2
188,1
189,1
190,1
191,0
192,1
193,3
194,0
195,2
196,2
197,0
198,0
199,2
200,3
201,3
202,3
203,0
204,0
205,2
206,3
207,2
208,2
209,2
210,1
211,1
212,0
213,0
214,1
215,3
216,2
217,1
218,1
219,2
220,2
221,3
222,3
223,3
224,1
225,0
226,0
227,2
228,2
229,2
230,2
231,3
232,1
233,1
234,0
235,0
236,2
237,1
238,1
239,2
240,3
241,0
242,0
243,2
244,2
245,0
246,0
247,2
248,2
249,2
250,0
251,0
252,2
253,2
254,1
255,1
256,2
257,1
258,1
259,1
260,0
261,2
262,1
263,3
264,3
265,3
266,1
267,2
268,2
269,2
270,3
271,1
272,3
273,2
274,2
275,2
276,2
277,1
278,2
279,1
280,1
281,3
282,0
283,0
284,0
285,0
286,2
287,3
288,2
289,0
290,0
291,2
292,0
293,2
294,2
295,3
296,3
297,3
298,2
299,1
300,0
301,0
302,2
303,1
304,0
305,0
306,3
307,3
308,2
309,1
310,1
311,1
312,1
313,2
314,2
315,3
316,0
317,0
318,2
319,1
320,3
321,1
322,1
323,3
324,0
325,0
326,0
327,0
328,2
329,1
330,1
331,0
332,0
333,2
334,0
335,0
336,3
337,1
338,2
339,1
340,0
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,2
349,2
350,2
351,3
352,1
353,2
354,0
355,0
356,0
357,2
358,2
359,1
360,0
361,3
362,2
363,2
364,2
365,2
366,3
367,2
368,2
369,3
370,0
371,0
372,2
373,3
374,3
375,1
376,1
377,3
378,2
379,2
380,0
381,0
382,2
383,2
384,2
385,0
386,0
387,2
388,0
389,0
390,2
391,1
392,2
393,0
394,0
395,2
396,0
397,0
398,2
399,0
