,0,1,2,3
0,-1.0705589845261553e-12,-2.9209252621520402e-08,-2.4929603846147713e-08,-2.0768582699225756e-08
1,-6.022850382349186e-08,-2.199875355315822e-07,-2.7008823746525976e-07,-2.3624463533438223e-07
2,-7.935918082106113e-07,-9.926855643323202e-07,-9.096912861990939e-07,-9.105741849649115e-07
3,-1.403775995990014e-06,-3.5584434872309922e-06,-3.426018414492884e-06,-2.934478769404216e-06
4,-7.343213241473276e-06,-0.299744272800782,-0.3162750985338395,-0.25903764486654873
5,0.0,0.0,0.0,0.0
6,-0.24986263234186842,-0.36644266145299165,-0.011933765190323128,-0.2326860412595329
7,-0.018485450094751072,-0.026789708337877617,-0.03049287751691235,-0.02642769486163886
8,-0.06062609710963374,-0.33765777110556716,-0.4728716643306582,-0.3206489249347264
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,-0.26320835916905727,-0.4167949693389512,-0.0028744936345987287,-0.3220079487058572
14,-0.0032629982390863757,-0.26391488895189186,-0.27672883154790895,-0.3675709629132883
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,-0.21860253933950616,-0.29535367322499684,-0.13709925951264237,-0.23002129577899358
18,-0.11982609209672422,-0.38116417698518096,-0.09699732959672099,-0.04968501706988106
19,-0.005423852432562165,-0.006196355740767956,-0.004973425328620283,-0.006129257764589908
20,-1.876309259883359e-12,-7.358388793282753e-08,-6.803793012009847e-08,-5.5101534484786625e-08
21,-0.4724693631396647,-0.2961323520958873,-0.27775117714403297,-2.0907150371463125e-07
22,-2.299695252319686e-06,-2.8042947870572575e-06,-2.823900432808914e-06,-1.0573238028397419e-06
23,-6.7158538421428254e-06,-6.18386418487057e-06,-7.991600903388424e-06,-4.833264142871166e-06
24,-1.3991149457925908e-05,-0.0008955966090261578,-0.001647640593025058,-0.0012614116221019728
25,-0.23894526817572012,-0.0035980148484871712,-0.5172549176753811,-0.45116595666627834
26,-0.00970240022263977,-0.02209331557080748,-0.019237476758809213,-0.019921717413892204
27,-0.04271286535831006,-0.06467803029518895,-0.08332413177795268,-0.06498931733600395
28,-0.19783306748989563,-0.2691980643989751,-0.28138064929721335,-0.1563121564879577
29,-0.6485034466333759,-0.49883625781751145,-0.691618648272092,-0.5845258037726859
30,-0.4388008103043003,-0.2108035153662587,-0.30565270659677596,-0.3825204505522227
31,-0.29936143159278716,-0.07595292979957367,-0.5489308115125753,-0.41043399307875095
