,Action
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,2
14,0
15,0
16,0
17,2
18,3
19,2
20,0
21,3
22,3
23,3
24,0
25,1
26,3
27,0
28,0
29,3
30,1
31,1
32,1
33,2
34,0
35,0
36,0
37,2
38,0
39,2
40,0
41,0
42,2
43,3
44,0
45,0
46,3
47,3
48,0
49,0
50,2
51,2
52,2
53,3
54,0
55,1
56,1
57,3
58,1
59,2
60,0
61,1
62,0
63,0
64,2
65,0
66,0
67,2
68,0
69,2
70,2
71,2
72,0
73,0
74,2
75,0
76,3
77,0
78,2
79,3
80,0
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,3
96,0
97,2
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,3
110,3
111,3
112,3
113,0
114,0
115,0
116,1
117,2
118,1
119,1
120,0
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,3
130,0
131,0
132,2
133,2
134,3
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,0
143,3
144,3
145,0
146,0
147,3
148,0
149,0
150,2
151,1
152,3
153,3
154,3
155,3
156,2
157,1
158,2
159,2
160,3
161,3
162,3
163,3
164,3
165,3
166,0
167,0
168,0
169,1
170,1
171,0
172,0
173,2
174,3
175,2
176,2
177,2
178,3
179,2
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,0
189,0
190,1
191,0
192,1
193,3
194,0
195,2
196,2
197,0
198,0
199,2
200,3
201,0
202,0
203,0
204,0
205,2
206,3
207,3
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,3
216,2
217,1
218,1
219,0
220,3
221,3
222,3
223,3
224,1
225,0
226,0
227,2
228,2
229,0
230,3
231,3
232,0
233,1
234,0
235,0
236,2
237,0
238,1
239,2
240,3
241,0
242,0
243,2
244,0
245,0
246,0
247,2
248,2
249,0
250,0
251,0
252,2
253,1
254,1
255,1
256,2
257,2
258,0
259,1
260,0
261,2
262,1
263,3
264,3
265,3
266,1
267,3
268,2
269,0
270,3
271,1
272,3
273,2
274,1
275,1
276,2
277,2
278,2
279,1
280,1
281,3
282,0
283,0
284,0
285,0
286,2
287,3
288,2
289,0
290,0
291,2
292,0
293,2
294,2
295,3
296,3
297,3
298,2
299,1
300,0
301,0
302,2
303,1
304,0
305,0
306,3
307,3
308,2
309,0
310,1
311,1
312,1
313,2
314,0
315,3
316,0
317,0
318,2
319,1
320,3
321,1
322,2
323,1
324,0
325,0
326,0
327,0
328,2
329,0
330,0
331,0
332,0
333,2
334,0
335,0
336,3
337,1
338,2
339,0
340,0
341,2
342,2
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,3
352,1
353,2
354,0
355,1
356,0
357,2
358,2
359,1
360,0
361,3
362,2
363,2
364,1
365,1
366,3
367,2
368,0
369,3
370,0
371,0
372,2
373,1
374,3
375,1
376,1
377,3
378,2
379,2
380,0
381,0
382,2
383,2
384,3
385,0
386,0
387,2
388,0
389,0
390,2
391,1
392,2
393,0
394,0
395,2
396,0
397,0
398,2
399,0
